nome,data,alta,baixa,abertura,fechamento,volume,capitalizacao_de_mercado,valorizacao,ano,dia_semana,retorno_acumulado,mudanca_preco
Litecoin,2019-10-23,53.8185894794,48.4951892296,53.7537247964,49.6279561923,3077488277,3152820838,-4.125768604100003,2019,Quarta-feira,10.320503277470218,-0.07659232968688345
Litecoin,2019-10-24,50.4694532619,49.0172913643,49.6834335322,50.0676659166,2650862714,3181078150,0.3842323844000006,2019,Quinta-feira,10.420804312551851,0.008860121553186717
Litecoin,2019-10-25,57.3202943789,49.6092244064,50.1142800192,56.9390110299,3770902916,3618037380,6.824731010699999,2019,Sexta-feira,11.988208873286325,0.13724117127301105
Litecoin,2019-10-26,61.72935906,54.7286700561,56.9459763381,56.775251712,5234627157,3607985867,-0.17072462610000372,2019,Sábado,11.950854163617848,-0.002876047808663351
Litecoin,2019-10-27,61.8748719543,55.915411839,56.8026215329,59.9139888283,4218140032,3807830063,3.111367295400001,2019,Domingo,12.666823277367177,0.05528354382683598
Litecoin,2019-10-28,61.9122849329,57.6697950549,59.9197996816,58.1268402987,3793848576,3694652651,-1.7929593828999941,2019,Segunda-feira,12.259161500842078,-0.02982856866234629
Litecoin,2019-10-29,60.65586031,58.0513597148,58.0513597148,59.8696243646,3582210705,3805805251,1.8182646497999997,2019,Terça-feira,12.65670341559465,0.029982432503542933
Litecoin,2019-10-30,60.8904603763,57.6030031687,59.8653251216,58.4209716297,3387114095,3714109861,-1.444353491900003,2019,Quarta-feira,12.326255029410733,-0.024196790113093947
Litecoin,2019-10-31,60.0818443309,57.6921286559,58.3634448239,58.7806836326,3165801278,3737406895,0.41723880870000585,2019,Quinta-feira,12.408307993510164,0.006157241019201676
Litecoin,2019-11-01,58.7515620144,57.7191089585,58.7463135046,58.5836434227,3425154368,3725245520,-0.16267008190000354,2019,Sexta-feira,12.36336166661886,-0.00335212518336081
Litecoin,2019-11-02,59.3347837189,58.2195065166,58.5790850619,58.5970249648,3353942166,3726483415,0.017939902899996696,2019,Sábado,12.366414095185808,0.00022841771727044602
Litecoin,2019-11-03,58.966865986,57.6411262528,58.5921025152,58.6251891562,3259935586,3728676102,0.033086641000004136,2019,Domingo,12.372838555218287,0.00048064200216524355
Litecoin,2019-11-04,62.1768263017,58.3830615727,58.5957385545,61.5730574891,4164854559,3916584191,2.9773189345999995,2019,Segunda-feira,13.045269090032914,0.05028330612368248
Litecoin,2019-11-05,63.99705855,61.3167271138,61.5774262913,63.3027644295,4725921529,4027051778,1.7253381382000015,2019,Terça-feira,13.439828015892918,0.028091944933970492
Litecoin,2019-11-06,64.2687453232,62.9567384492,63.3454231107,64.2687453232,3755244863,4088991803,0.9233222124999969,2019,Quarta-feira,13.660175390883165,0.015259695250367855
